subj,session,trial,rt,object_response,category,condition,imagename
resnet50_ft,1,1,NaN,dog,airplane,NaN,airplane3.png
resnet50_ft,1,2,NaN,dog,airplane,NaN,airplane4.png
resnet50_ft,1,3,NaN,dog,airplane,NaN,airplane8.png
resnet50_ft,1,4,NaN,dog,airplane,NaN,airplane7.png
resnet50_ft,1,5,NaN,dog,airplane,NaN,airplane5.png
resnet50_ft,1,6,NaN,dog,airplane,NaN,airplane9.png
resnet50_ft,1,7,NaN,dog,airplane,NaN,airplane2.png
resnet50_ft,1,8,NaN,dog,airplane,NaN,airplane10.png
resnet50_ft,1,9,NaN,dog,airplane,NaN,airplane6.png
resnet50_ft,1,10,NaN,dog,airplane,NaN,airplane1.png
resnet50_ft,1,11,NaN,dog,bear,NaN,bear2.png
resnet50_ft,1,12,NaN,dog,bear,NaN,bear6.png
resnet50_ft,1,13,NaN,dog,bear,NaN,bear3.png
resnet50_ft,1,14,NaN,clock,bear,NaN,bear1.png
resnet50_ft,1,15,NaN,dog,bear,NaN,bear9.png
resnet50_ft,1,16,NaN,dog,bear,NaN,bear7.png
resnet50_ft,1,17,NaN,dog,bear,NaN,bear5.png
resnet50_ft,1,18,NaN,dog,bear,NaN,bear10.png
resnet50_ft,1,19,NaN,clock,bear,NaN,bear4.png
resnet50_ft,1,20,NaN,dog,bear,NaN,bear8.png
resnet50_ft,1,21,NaN,dog,bicycle,NaN,bicycle1.png
resnet50_ft,1,22,NaN,dog,bicycle,NaN,bicycle8.png
resnet50_ft,1,23,NaN,dog,bicycle,NaN,bicycle2.png
resnet50_ft,1,24,NaN,dog,bicycle,NaN,bicycle4.png
resnet50_ft,1,25,NaN,dog,bicycle,NaN,bicycle7.png
resnet50_ft,1,26,NaN,clock,bicycle,NaN,bicycle5.png
resnet50_ft,1,27,NaN,dog,bicycle,NaN,bicycle9.png
resnet50_ft,1,28,NaN,clock,bicycle,NaN,bicycle10.png
resnet50_ft,1,29,NaN,dog,bicycle,NaN,bicycle6.png
resnet50_ft,1,30,NaN,clock,bicycle,NaN,bicycle3.png
resnet50_ft,1,31,NaN,dog,bird,NaN,bird4.png
resnet50_ft,1,32,NaN,dog,bird,NaN,bird9.png
resnet50_ft,1,33,NaN,dog,bird,NaN,bird2.png
resnet50_ft,1,34,NaN,dog,bird,NaN,bird1.png
resnet50_ft,1,35,NaN,dog,bird,NaN,bird3.png
resnet50_ft,1,36,NaN,dog,bird,NaN,bird7.png
resnet50_ft,1,37,NaN,dog,bird,NaN,bird10.png
resnet50_ft,1,38,NaN,dog,bird,NaN,bird6.png
resnet50_ft,1,39,NaN,dog,bird,NaN,bird8.png
resnet50_ft,1,40,NaN,dog,bird,NaN,bird5.png
resnet50_ft,1,41,NaN,dog,boat,NaN,boat10.png
resnet50_ft,1,42,NaN,dog,boat,NaN,boat1.png
resnet50_ft,1,43,NaN,dog,boat,NaN,boat5.png
resnet50_ft,1,44,NaN,dog,boat,NaN,boat8.png
resnet50_ft,1,45,NaN,dog,boat,NaN,boat3.png
resnet50_ft,1,46,NaN,dog,boat,NaN,boat9.png
resnet50_ft,1,47,NaN,dog,boat,NaN,boat7.png
resnet50_ft,1,48,NaN,dog,boat,NaN,boat2.png
resnet50_ft,1,49,NaN,dog,boat,NaN,boat4.png
resnet50_ft,1,50,NaN,dog,boat,NaN,boat6.png
resnet50_ft,1,51,NaN,dog,bottle,NaN,bottle2.png
resnet50_ft,1,52,NaN,dog,bottle,NaN,bottle10.png
resnet50_ft,1,53,NaN,bottle,bottle,NaN,bottle9.png
resnet50_ft,1,54,NaN,dog,bottle,NaN,bottle3.png
resnet50_ft,1,55,NaN,dog,bottle,NaN,bottle7.png
resnet50_ft,1,56,NaN,dog,bottle,NaN,bottle1.png
resnet50_ft,1,57,NaN,dog,bottle,NaN,bottle4.png
resnet50_ft,1,58,NaN,dog,bottle,NaN,bottle5.png
resnet50_ft,1,59,NaN,dog,bottle,NaN,bottle8.png
resnet50_ft,1,60,NaN,dog,bottle,NaN,bottle6.png
resnet50_ft,1,61,NaN,clock,car,NaN,car6.png
resnet50_ft,1,62,NaN,dog,car,NaN,car1.png
resnet50_ft,1,63,NaN,dog,car,NaN,car3.png
resnet50_ft,1,64,NaN,dog,car,NaN,car5.png
resnet50_ft,1,65,NaN,dog,car,NaN,car4.png
resnet50_ft,1,66,NaN,dog,car,NaN,car2.png
resnet50_ft,1,67,NaN,dog,car,NaN,car8.png
resnet50_ft,1,68,NaN,dog,car,NaN,car7.png
resnet50_ft,1,69,NaN,dog,car,NaN,car10.png
resnet50_ft,1,70,NaN,clock,car,NaN,car9.png
resnet50_ft,1,71,NaN,dog,cat,NaN,cat8.png
resnet50_ft,1,72,NaN,dog,cat,NaN,cat4.png
resnet50_ft,1,73,NaN,dog,cat,NaN,cat2.png
resnet50_ft,1,74,NaN,dog,cat,NaN,cat7.png
resnet50_ft,1,75,NaN,dog,cat,NaN,cat6.png
resnet50_ft,1,76,NaN,dog,cat,NaN,cat10.png
resnet50_ft,1,77,NaN,dog,cat,NaN,cat3.png
resnet50_ft,1,78,NaN,dog,cat,NaN,cat5.png
resnet50_ft,1,79,NaN,clock,cat,NaN,cat9.png
resnet50_ft,1,80,NaN,dog,cat,NaN,cat1.png
resnet50_ft,1,81,NaN,dog,chair,NaN,chair2.png
resnet50_ft,1,82,NaN,dog,chair,NaN,chair10.png
resnet50_ft,1,83,NaN,dog,chair,NaN,chair1.png
resnet50_ft,1,84,NaN,dog,chair,NaN,chair8.png
resnet50_ft,1,85,NaN,dog,chair,NaN,chair4.png
resnet50_ft,1,86,NaN,dog,chair,NaN,chair5.png
resnet50_ft,1,87,NaN,dog,chair,NaN,chair3.png
resnet50_ft,1,88,NaN,dog,chair,NaN,chair7.png
resnet50_ft,1,89,NaN,dog,chair,NaN,chair9.png
resnet50_ft,1,90,NaN,dog,chair,NaN,chair6.png
resnet50_ft,1,91,NaN,dog,clock,NaN,clock1.png
resnet50_ft,1,92,NaN,dog,clock,NaN,clock10.png
resnet50_ft,1,93,NaN,dog,clock,NaN,clock4.png
resnet50_ft,1,94,NaN,clock,clock,NaN,clock3.png
resnet50_ft,1,95,NaN,clock,clock,NaN,clock5.png
resnet50_ft,1,96,NaN,clock,clock,NaN,clock6.png
resnet50_ft,1,97,NaN,clock,clock,NaN,clock9.png
resnet50_ft,1,98,NaN,clock,clock,NaN,clock2.png
resnet50_ft,1,99,NaN,dog,clock,NaN,clock7.png
resnet50_ft,1,100,NaN,clock,clock,NaN,clock8.png
resnet50_ft,1,101,NaN,dog,dog,NaN,dog4.png
resnet50_ft,1,102,NaN,clock,dog,NaN,dog10.png
resnet50_ft,1,103,NaN,clock,dog,NaN,dog3.png
resnet50_ft,1,104,NaN,dog,dog,NaN,dog1.png
resnet50_ft,1,105,NaN,clock,dog,NaN,dog5.png
resnet50_ft,1,106,NaN,clock,dog,NaN,dog6.png
resnet50_ft,1,107,NaN,dog,dog,NaN,dog2.png
resnet50_ft,1,108,NaN,dog,dog,NaN,dog8.png
resnet50_ft,1,109,NaN,dog,dog,NaN,dog9.png
resnet50_ft,1,110,NaN,dog,dog,NaN,dog7.png
resnet50_ft,1,111,NaN,dog,elephant,NaN,elephant9.png
resnet50_ft,1,112,NaN,dog,elephant,NaN,elephant3.png
resnet50_ft,1,113,NaN,dog,elephant,NaN,elephant5.png
resnet50_ft,1,114,NaN,dog,elephant,NaN,elephant8.png
resnet50_ft,1,115,NaN,dog,elephant,NaN,elephant10.png
resnet50_ft,1,116,NaN,dog,elephant,NaN,elephant2.png
resnet50_ft,1,117,NaN,dog,elephant,NaN,elephant4.png
resnet50_ft,1,118,NaN,dog,elephant,NaN,elephant1.png
